Period,Parameters,Final Value,Total Return %,CAGR %,Max Drawdown %,Sharpe Ratio,Trades,vs QQQ %,QQQ Return %
3Y,"EMA(12/21) | SL:15% | Pivot(5,5)",30327.75887165297,203.2775887165297,44.78495940517075,-36.55899194564097,1.07711814992287,16,82.92177859875669,120.35581011777305
5Y,"EMA(9/50) | RSI>50 | SL:10% | Pivot(5,5)",28530.081331966023,185.30081331966025,23.345404123190598,-31.93344371219907,0.8425216814411307,112,82.41393306657886,102.8868802530814
5Y,"EMA(9/50) | RSI>50 | SL:10% | Pivot(5,7)",28530.081331966023,185.30081331966025,23.345404123190598,-31.93344371219907,0.8425216814411307,112,82.41393306657886,102.8868802530814
5Y,"EMA(9/50) | RSI>50 | SL:10% | Pivot(7,5)",28530.081331966023,185.30081331966025,23.345404123190598,-31.93344371219907,0.8425216814411307,112,82.41393306657886,102.8868802530814
5Y,"EMA(9/50) | RSI>50 | SL:10% | Pivot(7,7)",28530.081331966023,185.30081331966025,23.345404123190598,-31.93344371219907,0.8425216814411307,112,82.41393306657886,102.8868802530814
5Y,EMA(9/50) | RSI>50 | SL:10%,28530.081331966023,185.30081331966025,23.345404123190598,-31.93344371219907,0.8425216814411307,112,82.41393306657886,102.8868802530814
5Y,EMA(9/50) | RSI>50 | SL:10%,28530.081331966023,185.30081331966025,23.345404123190598,-31.93344371219907,0.8425216814411307,112,82.41393306657886,102.8868802530814
5Y,EMA(9/50) | RSI>50 | SL:10%,28530.081331966023,185.30081331966025,23.345404123190598,-31.93344371219907,0.8425216814411307,112,82.41393306657886,102.8868802530814
5Y,EMA(9/50) | RSI>50 | SL:10%,28530.081331966023,185.30081331966025,23.345404123190598,-31.93344371219907,0.8425216814411307,112,82.41393306657886,102.8868802530814
3Y,EMA(50) | SL:10%,30166.26986560881,201.6626986560881,44.52734248956152,-34.40877098173401,1.0599383728183946,32,81.3068885383151,120.35581011777305
3Y,EMA(50) | SL:10%,30166.26986560881,201.6626986560881,44.52734248956152,-34.40877098173401,1.0599383728183946,32,81.3068885383151,120.35581011777305
3Y,EMA(50) | SL:10%,30166.26986560881,201.6626986560881,44.52734248956152,-34.40877098173401,1.0599383728183946,32,81.3068885383151,120.35581011777305
3Y,EMA(50) | SL:10%,30166.26986560881,201.6626986560881,44.52734248956152,-34.40877098173401,1.0599383728183946,32,81.3068885383151,120.35581011777305
3Y,"EMA(50) | SL:10% | Pivot(7,7)",30166.26986560881,201.6626986560881,44.52734248956152,-34.40877098173401,1.0599383728183946,32,81.3068885383151,120.35581011777305
3Y,"EMA(50) | SL:10% | Pivot(7,5)",30166.26986560881,201.6626986560881,44.52734248956152,-34.40877098173401,1.0599383728183946,32,81.3068885383151,120.35581011777305
3Y,"EMA(50) | SL:10% | Pivot(5,7)",30166.26986560881,201.6626986560881,44.52734248956152,-34.40877098173401,1.0599383728183946,32,81.3068885383151,120.35581011777305
3Y,"EMA(50) | SL:10% | Pivot(5,5)",30166.26986560881,201.6626986560881,44.52734248956152,-34.40877098173401,1.0599383728183946,32,81.3068885383151,120.35581011777305
2Y,EMA(12/21),23659.7256679554,136.597256679554,53.86255426944791,-33.65881591086401,1.243115979855245,7,77.10521010470592,59.49204657484807
2Y,EMA(12/21),23659.7256679554,136.597256679554,53.86255426944791,-33.65881591086401,1.243115979855245,7,77.10521010470592,59.49204657484807
2Y,EMA(12/21),23659.7256679554,136.597256679554,53.86255426944791,-33.65881591086401,1.243115979855245,7,77.10521010470592,59.49204657484807
2Y,EMA(12/21),23659.7256679554,136.597256679554,53.86255426944791,-33.65881591086401,1.243115979855245,7,77.10521010470592,59.49204657484807
2Y,"EMA(12/21) | Pivot(7,7)",23659.7256679554,136.597256679554,53.86255426944791,-33.65881591086401,1.243115979855245,7,77.10521010470592,59.49204657484807
2Y,"EMA(12/21) | Pivot(7,5)",23659.7256679554,136.597256679554,53.86255426944791,-33.65881591086401,1.243115979855245,7,77.10521010470592,59.49204657484807
